sourceName,targetName,rawPercent,weight,sourceRef,confidence,include,note
동일인(이재용),삼성물산,19.8,0.198,FTC 2025 붙임3 삼성 소유지분도 / Gemini image analysis,medium,false,"PDF 기반 추출 후보, 추가 검증 필요"
동일인(이재용),삼성생명보험,10.4,0.104,FTC 2025 붙임3 삼성 소유지분도 / Gemini image analysis,medium,false,"PDF 기반 추출 후보, 추가 검증 필요"
동일인(이재용),삼성에스디에스,9.2,0.092,FTC 2025 붙임3 삼성 소유지분도 / Gemini image analysis,medium,false,"PDF 기반 추출 후보, 추가 검증 필요"
동일인(이재용),삼성전자,1.5,0.015,FTC 2025 붙임3 삼성 소유지분도 / Gemini image analysis,medium,false,"PDF 기반 추출 후보, 추가 검증 필요"
동일인(이재용),삼성이앤에이,1.5,0.015,FTC 2025 붙임3 삼성 소유지분도 / Gemini image analysis,medium,false,"PDF 기반 추출 후보, 추가 검증 필요"
동일인(이재용),삼성화재해상보험,0.1,0.001,FTC 2025 붙임3 삼성 소유지분도 / Gemini image analysis,medium,false,"PDF 기반 추출 후보, 추가 검증 필요"
삼성물산,삼성바이오로직스,43.1,0.431,FTC 2025 붙임3 삼성 소유지분도 / Gemini image analysis,medium,false,"PDF 기반 추출 후보, 추가 검증 필요"
삼성물산,삼성생명보험,19.3,0.193,FTC 2025 붙임3 삼성 소유지분도 / Gemini image analysis,medium,false,"PDF 기반 추출 후보, 추가 검증 필요"
삼성물산,삼성에스디에스,17.1,0.171,FTC 2025 붙임3 삼성 소유지분도 / Gemini image analysis,medium,false,"PDF 기반 추출 후보, 추가 검증 필요"
삼성물산,삼성이앤에이,7.0,0.07,FTC 2025 붙임3 삼성 소유지분도 / Gemini image analysis,medium,false,"PDF 기반 추출 후보, 추가 검증 필요"
삼성물산,삼성전자,4.4,0.044,FTC 2025 붙임3 삼성 소유지분도 / Gemini image analysis,medium,false,"PDF 기반 추출 후보, 추가 검증 필요"
삼성물산,삼성벤처투자,16.7,0.167,FTC 2025 붙임3 삼성 소유지분도 / Gemini image analysis,medium,false,"PDF 기반 추출 후보, 추가 검증 필요"
삼성물산,삼성글로벌리서치,1.0,0.01,FTC 2025 붙임3 삼성 소유지분도 / Gemini image analysis,medium,false,"PDF 기반 추출 후보, 추가 검증 필요"
삼성물산,삼성중공업,0.1,0.001,FTC 2025 붙임3 삼성 소유지분도 / Gemini image analysis,medium,false,"PDF 기반 추출 후보, 추가 검증 필요"
삼성물산,서울레이크사이드,100.0,1.0,FTC 2025 붙임3 삼성 소유지분도 / Gemini image analysis,medium,false,"PDF 기반 추출 후보, 추가 검증 필요"
삼성물산,제일패션리테일,100.0,1.0,FTC 2025 붙임3 삼성 소유지분도 / Gemini image analysis,medium,false,"PDF 기반 추출 후보, 추가 검증 필요"
삼성물산,삼우종합건축사사무소,100.0,1.0,FTC 2025 붙임3 삼성 소유지분도 / Gemini image analysis,medium,false,"PDF 기반 추출 후보, 추가 검증 필요"
삼성물산,삼성웰스토리,100.0,1.0,FTC 2025 붙임3 삼성 소유지분도 / Gemini image analysis,medium,false,"PDF 기반 추출 후보, 추가 검증 필요"
삼성생명보험,삼성카드,71.9,0.719,FTC 2025 붙임3 삼성 소유지분도 / Gemini image analysis,medium,false,"PDF 기반 추출 후보, 추가 검증 필요"
삼성생명보험,삼성증권,29.4,0.294,FTC 2025 붙임3 삼성 소유지분도 / Gemini image analysis,medium,false,"PDF 기반 추출 후보, 추가 검증 필요"
삼성생명보험,삼성화재해상보험,14.5,0.145,FTC 2025 붙임3 삼성 소유지분도 / Gemini image analysis,medium,false,"PDF 기반 추출 후보, 추가 검증 필요"
삼성생명보험,삼성전자,7.5,0.075,FTC 2025 붙임3 삼성 소유지분도 / Gemini image analysis,medium,false,"PDF 기반 추출 후보, 추가 검증 필요"
삼성생명보험,호텔신라,7.2,0.072,FTC 2025 붙임3 삼성 소유지분도 / Gemini image analysis,medium,false,"PDF 기반 추출 후보, 추가 검증 필요"
삼성생명보험,에스원,5.3,0.053,FTC 2025 붙임3 삼성 소유지분도 / Gemini image analysis,medium,false,"PDF 기반 추출 후보, 추가 검증 필요"
